comment,sentiment_scores,sentiment
ollama now runs llama3.1 and it has a large context window !,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Where do you get all this stuff from,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
"Hey there, is your VSCode theme public? It's really nice, would love to have it to customize","{'neg': 0.0, 'neu': 0.665, 'pos': 0.335, 'compound': 0.8204}",Positive
"Wow this is so cool! I really love the tutorial ❤
Can you please tell if its possible to do it in Google Colab?","{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.9342}",Positive
This is what I need right now!!! Thank you CS online mentor!,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.5673}",Positive
Cool!! Could I get this to summarize my e-library?,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.4374}",Positive
"This is swag, how can we create a custom personality for the llama3 model?","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}",Positive
This is Very useful content Keep it up,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.4927}",Positive
Thanks for saving the day. i been following your channel for four years now,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",Positive
Awesomesauce! Tim make more vids covering LangChain projects please and maybe an in depth tutorial! ❤🎉,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.4374}",Positive
Tim this ollama is running on my cpu and hence really slow can I make it run on my GPU somehow?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
does it require gpu ?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
what's the minimum hardware requirement? thank you!,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4199}",Positive
"I love how you make it easy for us.
After that we need an UI and bingo.
Btw, does it keep the answers in memory after we exit? Don't think so, right?","{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.8156}",Positive
Does respose speed of AI bot depend on gpu like llama ?,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",Positive
"Thank you very much for the video, i'm gonna try that :)","{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.6705}",Positive
"If you need to work with large amounts of data OpenAI performance still can't be matched locally, unless you spend a ridiculous amount on your computer build.","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.3612}",Negative
Whenever I get a idea this guy makes a video about it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Please Tim help me how to add long term (infact ultra long) memory to my cool AI agent using only ollama and rich library. May be memgpt will be nice approach. Please help me!,"{'neg': 0.0, 'neu': 0.587, 'pos': 0.413, 'compound': 0.9516}",Positive
10th,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
"Can you please refer back to the old way of recording and produce your content 

I really really don't like this new way","{'neg': 0.106, 'neu': 0.802, 'pos': 0.092, 'compound': -0.0905}",Negative
Tech With Tim is my favorite.,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}",Positive
❤🎉,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Zuck <3,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",Positive
You are legend,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
"Anyone else read Ollama as Obama?
No?
Just me? Darn.","{'neg': 0.233, 'neu': 0.767, 'pos': 0.0, 'compound': -0.4098}",Negative
Nice one,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",Positive
2nd,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
1st,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
